dataset,model,epoch,pred,w,learning rate,batch size,fid
flowers,JiT-Flowers,49,x,v,0.001,32,266.88365824996583
flowers,JiT-Flowers,59,x,v,0.001,32,225.86534243692105
celeba,JiT-CelebaB,1800,x,v,0.0001,128,30.286936764279602
celeba,JiT-CelebaB,1899,x,v,0.0001,128,22.564586756593457
celeba,JiT-CelebaB,1999,x,v,0.0001,128,26.397490291283987
celeba,JiT-CelebaB,1999,x,v,0.0001,128,14.816173997954536
celeba,JiT-CelebaB,199,x,v,0.0001,128,17.9078838420385
celeba,JiT-CelebaB,399,x,v,0.0001,128,13.46218908918783
celeba,JiT-CelebaB,599,x,v,0.0001,128,16.34033811457755
celeba,JiT-CelebaB,799,x,v,0.0001,128,11.693056917270525
celeba,JiT-CelebaB,999,x,v,0.0001,128,21.589191818713573
celeba,JiT-CelebaB,1199,x,v,0.0001,128,10.654808136294037
celeba,JiT-CelebaB,1399,x,v,0.0001,128,12.303846194108473
celeba,JiT-CelebaB,1599,x,v,0.0001,128,15.802762746530647
celeba,JiT-CelebaB,1799,x,v,0.0001,128,9.920373365170633
celeba,JiT-CelebaB,1999,x,v,0.0001,128,20.006837609212624
celeba,JiT-CelebaB,199,x,v,0.001,128,47.035921663080416
celeba,JiT-CelebaB,399,x,v,0.0001,128,10.866533491312794
celeba,JiT-CelebaB,599,x,v,0.0001,128,11.266925308558712
celeba,JiT-CelebaB,799,x,v,0.0001,128,10.372373201890895
celeba,JiT-CelebaB,999,x,v,0.0001,128,14.51422646544313
celeba,JiT-CelebaB,1199,x,v,0.0001,128,11.75546465245796
celeba,JiT-CelebaB,1399,x,v,0.0001,128,12.901694895741372
celeba,JiT-CelebaB,1599,x,v,0.0001,128,12.878373253296559
celeba,JiT-CelebaB,1799,x,v,0.0001,128,11.460310657633698
celeba,JiT-CelebaB,1999,x,v,0.0001,128,11.747121723487453
celeba,JiT-CelebaB,199,x,v,0.001,128,21.37717834059339
celeba,JiT-CelebaB,399,x,v,0.001,128,10.387765426955383
